departamento,municipio,cultivo,anio,fuente_eva,split,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,rendimiento_lag_1,rendimiento_lag_2,rendimiento_lag_3,produccion_lag_1,area_cosechada_lag_1,area_sembrada_lag_1,media_rendimiento_3y,variabilidad_rendimiento_3y,tendencia_rendimiento_3y,es_outlier_rendimiento,dato_copiado,inconsistencia_rend,score_confiabilidad,precipitacion_acumulada_mm,dias_lluvia,intensidad_max_diaria_mm,precipitacion_mediana_diaria,precip_Q3_mm,ratio_concentracion_lluvia,cv_precipitacion_mensual,max_dias_secos_consecutivos,ph_media,num_muestras_suelo,ph_variabilidad,materia_organica_pct_media,materia_organica_pct_variabilidad,fosforo_ppm_media,fosforo_ppm_variabilidad,calcio_meq_media,calcio_meq_variabilidad,magnesio_meq_media,magnesio_meq_variabilidad,potasio_meq_media,potasio_meq_variabilidad,salinidad_ds_m_media,salinidad_ds_m_variabilidad,tendencia_ph,tendencia_materia_organica_pct,tendencia_fosforo_ppm,tendencia_calcio_meq,tendencia_magnesio_meq,tendencia_potasio_meq,tendencia_salinidad_ds_m,credito_total,colocacion_total,num_operaciones_credito,credito_promedio_operacion,log_credito_total,precio_internacional_usd,precio_internacional_max,precio_internacional_min,volatilidad_precio,cambio_precio_pct,rango_precio_ratio
META,ACACIAS,ARROZ,2006,historica,historial,150.0,150.0,840.0,5.6,,,,,,,,,,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,,,,,,
META,ACACIAS,ARROZ,2007,historica,historial,1906.0,1906.0,10884.0,5.710388247639035,5.6,,,840.0,150.0,150.0,,,,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,,,,,,
META,ACACIAS,ARROZ,2008,historica,historial,1916.0,1916.0,10101.0,5.271920668058455,5.710388247639035,5.6,,10884.0,1906.0,1906.0,5.655194123819517,0.0780562784688615,0.1103882476390349,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2009,historica,historial,477.0,477.0,2635.0,5.524109014675052,5.271920668058455,5.710388247639035,5.6,10101.0,1916.0,1916.0,5.527436305232496,0.2280626491439281,-0.4384675795805792,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2010,historica,historial,238.0,238.0,1288.0,5.411764705882353,5.524109014675052,5.271920668058455,5.710388247639035,2635.0,477.0,477.0,5.502139310124181,0.2200578458595658,0.252188346616597,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2011,historica,historial,140.0,140.0,628.0,4.485714285714286,5.411764705882353,5.524109014675052,5.271920668058455,1288.0,238.0,238.0,5.40259812953862,0.1263438171566082,-0.1123443087926991,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2012,historica,historial,33.0,33.0,172.0,5.212121212121212,4.485714285714286,5.411764705882353,5.524109014675052,628.0,140.0,140.0,5.140529335423897,0.5698617138606328,-0.9260504201680676,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2013,historica,historial,46.0,46.0,178.0,3.869565217391304,5.212121212121212,4.485714285714286,5.411764705882353,172.0,33.0,33.0,5.036533401239283,0.4873557783294397,0.7264069264069262,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2014,historica,historial,369.0,369.0,1879.0,5.092140921409214,3.869565217391304,5.212121212121212,4.485714285714286,178.0,46.0,46.0,4.522466905075601,0.6720321540065919,-1.3425559947299075,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2015,historica,historial,561.0,560.0,2783.0,4.9696428571428575,5.092140921409214,3.869565217391304,5.212121212121212,1879.0,369.0,369.0,4.72460911697391,0.742915789440435,1.2225757040179102,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
