Año,Municipio,Departamento,Escenario,Rendimiento_t_ha,Area_ha,Precio_USD,Ingreso_Millones_COP
2025,MANI,CASANARE,Normal,5.208335429150747,23700.0,5500,2715626.0927592
2025,PURIFICACION,TOLIMA,Normal,7.642260689193832,17100.0,5500,2875018.4712747196
2025,SAN JOSE DE CUCUTA,NORTE DE SANTANDER,Normal,5.472814689645882,23000.0,5500,2769244.2329608165
2025,SAN LUIS DE PALENQUE,CASANARE,Normal,4.9967361882423855,27425.0,5500,3014780.7791760433
2025,YOPAL,CASANARE,Normal,6.025717037305414,14694.0,5500,1947921.4952156465
2026,MANI,CASANARE,Fuerte Sequía (El Niño),5.181589335969233,23700.0,4500,2210466.010724475
2026,PURIFICACION,TOLIMA,Fuerte Sequía (El Niño),7.613768088651542,17100.0,4500,2343517.8176869443
2026,SAN JOSE DE CUCUTA,NORTE DE SANTANDER,Fuerte Sequía (El Niño),5.306114460727073,23000.0,4500,2196731.386741008
2026,SAN LUIS DE PALENQUE,CASANARE,Fuerte Sequía (El Niño),5.122979594587314,27425.0,4500,2528958.8768680273
2026,YOPAL,CASANARE,Fuerte Sequía (El Niño),5.878780900269765,14694.0,4500,1554890.5178741508
2027,MANI,CASANARE,Normal,5.167227061302195,23700.0,3800,1861441.8765635025
2027,PURIFICACION,TOLIMA,Normal,7.512979624156367,17100.0,3800,1952773.6639107228
2027,SAN JOSE DE CUCUTA,NORTE DE SANTANDER,Normal,5.08574601221804,23000.0,3800,1777976.8058714268
2027,SAN LUIS DE PALENQUE,CASANARE,Normal,5.081545255702917,27425.0,3800,2118292.955292318
2027,YOPAL,CASANARE,Normal,5.823902756815629,14694.0,3800,1300761.6920514626
2028,MANI,CASANARE,Lluvias Fuertes (La Niña),5.162789994976702,23700.0,3500,1713013.7203332696
2028,PURIFICACION,TOLIMA,Lluvias Fuertes (La Niña),7.416935540133018,17100.0,3500,1775614.3683078445
2028,SAN JOSE DE CUCUTA,NORTE DE SANTANDER,Lluvias Fuertes (La Niña),4.9770563205831335,23000.0,3500,1602612.135227769
2028,SAN LUIS DE PALENQUE,CASANARE,Lluvias Fuertes (La Niña),5.140619668413313,27425.0,3500,1973740.9216872915
2028,YOPAL,CASANARE,Lluvias Fuertes (La Niña),5.7199631575243854,14694.0,3500,1176687.9409132863
2029,MANI,CASANARE,Normal,5.162321461405522,23700.0,3500,1712858.2608943523
2029,PURIFICACION,TOLIMA,Normal,7.305303482344341,17100.0,3500,1748889.653673235
2029,SAN JOSE DE CUCUTA,NORTE DE SANTANDER,Normal,4.9185290805852695,23000.0,3500,1583766.3639484567
2029,SAN LUIS DE PALENQUE,CASANARE,Normal,5.131807459032993,27425.0,3500,1970357.4738957176
2029,YOPAL,CASANARE,Normal,5.589518828187437,14694.0,3500,1149853.4552594067
