Año,Municipio,Departamento,Escenario,Rendimiento_t_ha,Area_ha,Precio_USD,Ingreso_Millones_COP
2025,ARAUQUITA,ARAUCA,Normal,0.6846600356418721,7285.0,5500,109730.46391232284
2025,EL CARMEN DE CHUCURI,SANTANDER,Normal,0.6666765754558632,13935.0,5500,204383.03773750397
2025,RIONEGRO,SANTANDER,Normal,0.5993110049853154,5943.0,5500,78357.51665781005
2025,SAN ANDRES DE TUMACO,NARINO,Normal,0.5303832082766259,15010.2,5500,175145.47672322384
2025,SAN VICENTE DE CHUCURI,SANTANDER,Normal,0.596264930187848,16870.0,5500,221297.76618991792
2026,ARAUQUITA,ARAUCA,Fuerte Sequía (El Niño),0.668466399569071,7285.0,4500,87655.99897549229
2026,EL CARMEN DE CHUCURI,SANTANDER,Fuerte Sequía (El Niño),0.6432239312993326,13935.0,4500,161339.85868781162
2026,RIONEGRO,SANTANDER,Fuerte Sequía (El Niño),0.5967460370928829,5943.0,4500,63836.31057197405
2026,SAN ANDRES DE TUMACO,NARINO,Fuerte Sequía (El Niño),0.5368356963325198,15010.2,4500,145044.20104362702
2026,SAN VICENTE DE CHUCURI,SANTANDER,Fuerte Sequía (El Niño),0.5886758436757616,16870.0,4500,178757.30669058175
2027,ARAUQUITA,ARAUCA,Normal,0.6610424172655847,7285.0,3800,73198.54894865271
2027,EL CARMEN DE CHUCURI,SANTANDER,Normal,0.6307032511965386,13935.0,3800,133590.51704244124
2027,RIONEGRO,SANTANDER,Normal,0.5908958661743859,5943.0,3800,53377.750816650514
2027,SAN ANDRES DE TUMACO,NARINO,Normal,0.5396428327557722,15010.2,3800,123122.23209310652
2027,SAN VICENTE DE CHUCURI,SANTANDER,Normal,0.5840562396613684,16870.0,3800,149766.03719892676
2028,ARAUQUITA,ARAUCA,Lluvias Fuertes (La Niña),0.6589620661183839,7285.0,3500,67207.54112341396
2028,EL CARMEN DE CHUCURI,SANTANDER,Lluvias Fuertes (La Niña),0.6255394112160299,13935.0,3500,122036.48373413527
2028,RIONEGRO,SANTANDER,Lluvias Fuertes (La Niña),0.5877862916374892,5943.0,3500,48904.99503682238
2028,SAN ANDRES DE TUMACO,NARINO,Lluvias Fuertes (La Niña),0.5431901762313975,15010.2,3500,114147.50456575934
2028,SAN VICENTE DE CHUCURI,SANTANDER,Lluvias Fuertes (La Niña),0.5807401213793154,16870.0,3500,137159.20186736673
2029,ARAUQUITA,ARAUCA,Normal,0.6583537393648953,7285.0,3500,67145.49787782566
2029,EL CARMEN DE CHUCURI,SANTANDER,Normal,0.6185821581658032,13935.0,3500,120679.19323656654
2029,RIONEGRO,SANTANDER,Normal,0.5840987949758497,5943.0,3500,48598.18793958065
2029,SAN ANDRES DE TUMACO,NARINO,Normal,0.5443325482535519,15010.2,3500,114387.56582113652
2029,SAN VICENTE DE CHUCURI,SANTANDER,Normal,0.5797369042040649,16870.0,3500,136922.26203491606
