Año,Municipio,Departamento,Escenario,Rendimiento_t_ha,Area_ha,Precio_USD,Ingreso_Millones_COP
2025,ARAUQUITA,ARAUCA,Normal,21.438316582065895,6983.0,5500,3293482.8232364557
2025,FUENTE DE ORO,META,Normal,23.89569622227713,8998.91,5500,4730774.833215462
2025,SARAVENA,ARAUCA,Normal,21.685428040555887,4000.0,5500,1908317.667568918
2025,TAME,ARAUCA,Normal,24.406915502650968,21103.0,5500,11331301.032753754
2025,TURBO,ANTIOQUIA,Normal,16.417719630207497,10254.0,5500,3703640.5359392487
2026,ARAUQUITA,ARAUCA,Fuerte Sequía (El Niño),20.663803921076273,6983.0,4500,2597316.170055761
2026,FUENTE DE ORO,META,Fuerte Sequía (El Niño),22.25343912970634,8998.91,4500,3604620.526536702
2026,SARAVENA,ARAUCA,Fuerte Sequía (El Niño),20.983509233759744,4000.0,4500,1510812.6648307017
2026,TAME,ARAUCA,Fuerte Sequía (El Niño),23.65584413056337,21103.0,4500,8985767.016371017
2026,TURBO,ANTIOQUIA,Fuerte Sequía (El Niño),15.341741649687437,10254.0,4500,2831655.93976611
2027,ARAUQUITA,ARAUCA,Normal,20.36548695263778,6983.0,3800,2161625.3699320983
2027,FUENTE DE ORO,META,Normal,21.88624689698277,8998.91,3800,2993675.9641686534
2027,SARAVENA,ARAUCA,Normal,20.706970421579296,4000.0,3800,1258983.8016320213
2027,TAME,ARAUCA,Normal,23.36951443637242,21103.0,3800,7496136.319891661
2027,TURBO,ANTIOQUIA,Normal,14.365625946688002,10254.0,3800,2239037.9525515493
2028,ARAUQUITA,ARAUCA,Lluvias Fuertes (La Niña),20.283126951334427,6983.0,3500,1982919.0570163564
2028,FUENTE DE ORO,META,Lluvias Fuertes (La Niña),21.504476398218124,8998.91,3500,2709235.867865647
2028,SARAVENA,ARAUCA,Lluvias Fuertes (La Niña),20.631143867153355,4000.0,3500,1155344.0565605878
2028,TAME,ARAUCA,Lluvias Fuertes (La Niña),23.448597744765955,21103.0,3500,6927700.614909143
2028,TURBO,ANTIOQUIA,Lluvias Fuertes (La Niña),13.770050825129783,10254.0,3500,1976773.416252331
2029,ARAUQUITA,ARAUCA,Normal,20.051975068611537,6983.0,3500,1960321.1866576008
2029,FUENTE DE ORO,META,Normal,20.84754163287555,8998.91,3500,2626472.1122570015
2029,SARAVENA,ARAUCA,Normal,20.63725824447059,4000.0,3500,1155686.4616903532
2029,TAME,ARAUCA,Normal,23.472322737284014,21103.0,3500,6934709.974148663
2029,TURBO,ANTIOQUIA,Normal,13.295645832593918,10254.0,3500,1908669.7331438528
