departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
META,ACACIAS,4.587007363112711,2210.937549020327,4421875098.040654
CHOCO,ACANDI,2.979668536566354,667.4457521908633,1334891504.3817267
BOLIVAR,ACHI,3.39926207552879,37395.28209289222,74790564185.78444
CESAR,AGUACHICA,5.110041613747301,1788.5145648115554,3577029129.623111
CASANARE,AGUAZUL,5.798395085233219,12942.017830240544,25884035660.481087
HUILA,AIPE,7.391959044117917,14192.561364706402,28385122729.412804
TOLIMA,ALPUJARRA,7.005995938380224,3783.2378067253208,7566475613.450642
HUILA,ALTAMIRA,6.141874405921079,282.5262226723696,565052445.3447392
CHOCO,ALTO BAUDO,4.740216884813742,663.6303638739238,1327260727.7478476
BOLIVAR,ALTOS DEL ROSARIO,3.978367082563163,5171.8772073321115,10343754414.664225
TOLIMA,ALVARADO,7.5190656198378605,22918.1120092658,45836224018.5316
TOLIMA,AMBALEMA,6.007340647829272,37846.24608132442,75692492162.64883
ANTIOQUIA,APARTADO,2.314654430612928,3610.8609117561678,7221721823.512336
MAGDALENA,ARACATACA,5.832366835299537,3645.2292720622104,7290458544.124421
ARAUCA,ARAUCA,5.183551478073519,10470.773985708509,20941547971.41702
ARAUCA,ARAUQUITA,4.612354180590207,10839.032324386986,21678064648.77397
ANTIOQUIA,ARBOLETES,2.358737171165662,2688.960375128855,5377920750.25771
BOLIVAR,ARENAL,3.032284898855353,206.195373122164,412390746.24432796
TOLIMA,ARMERO,7.8581873479081095,34968.93369819109,69937867396.38219
TOLIMA,ATACO,7.804508124734308,1756.0143280652194,3512028656.130439
CHOCO,ATRATO,2.581042365921383,69.68814387987734,139376287.7597547
CORDOBA,AYAPEL,4.919943158501267,1475.9829475503802,2951965895.1007605
CHOCO,BAHIA SOLANO,3.9018505880602774,565.7683352687402,1131536670.5374804
CHOCO,BAJO BAUDO,2.746253685264136,357.01297908433764,714025958.1686753
CAUCA,BALBOA,6.922610069447531,1612.9681461812747,3225936292.3625493
HUILA,BARAYA,7.732757437158275,3402.413272349641,6804826544.699282
NARINO,BARBACOAS,2.3193153045477053,44.0669907864064,88133981.5728128
SANTANDER,BARRANCABERMEJA,5.2944838298347054,238.25177234256174,476503544.6851235
BOLIVAR,BARRANCO DE LOBA,4.574790034021956,1395.3109603766966,2790621920.753393
CESAR,BECERRIL,4.956916264724729,2428.888969715117,4857777939.430234
CHOCO,BOJAYA,2.9428633246105114,338.4292823302088,676858564.6604176
CESAR,BOSCONIA,4.923844478604706,9355.304509348942,18710609018.697884
ANTIOQUIA,BRICENO,1.7373835644497622,60.808424755741676,121616849.51148336
VALLE DEL CAUCA,BUENAVENTURA,3.50757523971448,122.7651333900068,245530266.7800136
CORDOBA,BUENAVISTA,5.233670428185029,1360.7543113281074,2721508622.656215
META,CABUYARO,5.5451157989415645,8872.185278306502,17744370556.613007
ANTIOQUIA,CACERES,2.1519416356002057,1915.2280556841831,3830456111.3683662
SUCRE,CAIMITO,3.7955859165888004,1935.7488174602881,3871497634.920576
GUAVIARE,CALAMAR,3.415925855179184,2032.4758838316145,4064951767.663229
CAUCA,CALOTO,5.868562893832273,4694.850315065818,9389700630.131636
HUILA,CAMPOALEGRE,7.133118214631153,42798.70928778692,85597418575.57385
CORDOBA,CANALETE,4.450932117302354,10513.101661068162,21026203322.136322
BOLIVAR,CANTAGALLO,5.826771824358424,1573.2283925767745,3146456785.153549
CHOCO,CARMEN DEL DARIEN,5.047576981779991,2675.215800343395,5350431600.68679
BOLIVAR,CARTAGENA DE INDIAS,4.100162765401657,574.022787156232,1148045574.3124638
CAQUETA,CARTAGENA DEL CHAIRA,2.624709266882051,2454.1031645347175,4908206329.069435
VAUPES,CARURU,2.7159807877880806,35.307750241245046,70615500.48249009
META,CASTILLA LA NUEVA,5.633419464038227,3994.094400003103,7988188800.0062065
ANTIOQUIA,CAUCASIA,4.324814347205501,6789.958525112636,13579917050.225273
CORDOBA,CERETE,5.492073339590444,4503.500138464165,9007000276.92833
CHOCO,CERTEGUI,3.0423176069977895,6.084635213995579,12169270.427991157
SUCRE,CHALAN,1.7895212573265638,404.43180415580343,808863608.3116069
TOLIMA,CHAPARRAL,7.044973968828442,4487.648418143717,8975296836.287436
ANTIOQUIA,CHIGORODO,4.160497133628463,6764.968339279882,13529936678.559763
CORDOBA,CHIMA,3.800536932429943,433.2612102970135,866522420.594027
SANTANDER,CHIMA,2.9821786892083257,8.946536067624978,17893072.135249957
CESAR,CHIRIGUANA,5.7638203880271845,2178.724106674276,4357448213.348552
CORDOBA,CIENAGA DE ORO,3.5617767544740486,5378.282899255813,10756565798.511625
SANTANDER,CIMITARRA,5.706750575323044,3366.982839440596,6733965678.881191
BOLIVAR,CLEMENCIA,2.4010454983655913,40.81777347221505,81635546.9444301
HUILA,COLOMBIA,7.900971462161529,7.900971462161529,15801942.924323058
SUCRE,COLOSO,1.6429200935438943,98.57520561263367,197150411.22526735
CHOCO,CONDOTO,2.128346530854881,8.087716817248548,16175433.634497097
BOLIVAR,CORDOBA,5.364056710395539,2413.825519677993,4827651039.355986
SUCRE,COROZAL,4.058246557011509,316.5432314468977,633086462.8937955
CORDOBA,COTORRA,3.1065772535627802,338.61692063834306,677233841.2766862
TOLIMA,COYAIMA,6.312763027729453,9661.052537637155,19322105075.27431
META,CUMARAL,6.218114052453706,25083.87208759825,50167744175.196495
VICHADA,CUMARIBO,2.9325972994450367,439.8895949167555,879779189.833511
CAQUETA,CURILLO,3.287271525940092,59.170887466921656,118341774.9338433
CESAR,CURUMANI,3.082374669313709,147.95398412705805,295907968.25411606
LA GUAJIRA,DIBULLA,6.159692051488334,634.4482813032985,1268896562.606597
LA GUAJIRA,DISTRACCION,7.818228268744258,1954.5570671860646,3909114134.372129
ANTIOQUIA,EL BAGRE,2.64270030895565,1030.6531204927035,2061306240.985407
BOLIVAR,EL CARMEN DE BOLIVAR,2.2790291411832624,934.4019478851376,1868803895.7702754
META,EL CASTILLO,5.176448585801728,3892.6893365228993,7785378673.045799
NARINO,EL CHARCO,2.9241648987930646,140.3599151420671,280719830.2841342
META,EL DORADO,6.605607066327228,396.3364239796337,792672847.9592675
CHOCO,EL LITORAL DEL SAN JUAN,2.3789893010462437,26.168882311508682,52337764.62301736
CESAR,EL PASO,4.607518209345499,4837.894119812774,9675788239.62555
MAGDALENA,EL PINON,3.340127633289384,501.01914499340756,1002038289.9868152
MAGDALENA,EL RETEN,5.898706654759785,14392.844237613876,28785688475.227753
GUAVIARE,EL RETORNO,5.91566624973923,1893.0131999165537,3786026399.8331075
SUCRE,EL ROBLE,3.471858951150997,520.7788426726496,1041557685.3452992
NORTE DE SANTANDER,EL ZULIA,7.295941026963971,36479.70513481985,72959410269.6397
TOLIMA,ESPINAL,7.4752410445602555,57743.84499209372,115487689984.18744
TOLIMA,FALAN,6.034866552259104,241.39466209036416,482789324.1807284
TOLIMA,FLANDES,6.5288847484473145,4426.583859447279,8853167718.894558
CAQUETA,FLORENCIA,4.818835513051503,240.94177565257513,481883551.3051503
LA GUAJIRA,FONSECA,7.55974176208837,5367.416651082743,10734833302.165485
ANTIOQUIA,FRONTINO,4.1517666805958156,111.26734703996786,222534694.07993573
META,FUENTE DE ORO,5.518619648438319,70770.778371573,141541556743.146
MAGDALENA,FUNDACION,5.889329222044793,206.12652277156775,412253045.54313546
SUCRE,GALERAS,4.755597006729603,190.22388026918412,380447760.5383682
CESAR,GAMARRA,5.247195177835733,1883.7430688430284,3767486137.6860566
HUILA,GARZON,7.0213817196700585,477.453956937564,954907913.875128
HUILA,GIGANTE,7.278425942347946,116.45481507756713,232909630.1551343
META,GRANADA,5.421457665514379,20666.59662094081,41333193241.88162
ANTIOQUIA,GRANADA,1.4127229026932189,2.8254458053864377,5650891.610772875
CAUCA,GUACHENE,8.441732273412667,1013.00787280952,2026015745.61904
TOLIMA,GUAMO,7.75476788582538,71421.41222845175,142842824456.90347
CAUCA,GUAPI,3.302671985608904,2523.2413970052025,5046482794.010406
SUCRE,GUARANDA,3.8375858763346,23570.452452447113,47140904904.894226
CASANARE,HATO COROZAL,5.818110773869948,40656.95808780319,81313916175.60638
HUILA,HOBO,7.004791021418271,1667.1402630975485,3334280526.1950974
TOLIMA,IBAGUE,7.407350324956923,70369.82808709076,140739656174.18152
NARINO,IPIALES,1.2377433927152897,6.188716963576448,12377433.927152896
HUILA,IQUIRA,8.161956973452366,603.9848160354751,1207969632.0709503
CHOCO,ISTMINA,2.9835781944760433,1297.8565145970788,2595713029.1941576
VALLE DEL CAUCA,JAMUNDI,5.800949213599892,17855.321679460467,35710643358.92093
CHOCO,JURADO,1.6678424680893378,43.36390417032278,86727808.34064557
CORDOBA,LA APARTADA,3.022546389946408,143.57095352245437,287141907.0449087
NORTE DE SANTANDER,LA ESPERANZA,6.802805694115468,11564.769679996296,23129539359.99259
CESAR,LA GLORIA,7.205546543440002,4453.027763845921,8906055527.691843
CESAR,LA JAGUA DE IBIRICO,6.674529024636407,10345.519988186432,20691039976.372864
META,LA MACARENA,3.2268898949814133,1484.3693516914502,2968738703.3829
CAQUETA,LA MONTANITA,1.4131331134027423,70.65665567013711,141313311.34027424
VICHADA,LA PRIMAVERA,3.309038062363121,1290.5248443216171,2581049688.6432343
NARINO,LA TOLA,2.9888419440099954,41.84378721613994,83687574.43227987
SUCRE,LA UNION,2.3731242912190766,901.7872306632491,1803574461.3264983
META,LEJANIAS,6.557497902491871,419.67986575947975,839359731.5189595
TOLIMA,LERIDA,7.415956025278737,32259.408709962507,64518817419.92501
AMAZONAS,LETICIA,1.8053596576876236,28.885754523001978,57771509.04600396
CHOCO,LLORO,1.8625453046403224,27.938179569604838,55876359.13920968
CORDOBA,LORICA,4.850772191270977,8614.971411697255,17229942823.394512
CORDOBA,LOS CORDOBAS,3.092082630830141,163.88037943399746,327760758.86799496
NORTE DE SANTANDER,LOS PATIOS,6.9736271429174295,1555.1188528705868,3110237705.7411737
BOLIVAR,MAGANGUE,3.1446740404682547,2408.820314998683,4817640629.997366
NARINO,MAGUI,2.2575317589056505,90.30127035622601,180602540.71245202
BOLIVAR,MAHATES,6.955961218003674,278.23844872014695,556476897.4402939
SUCRE,MAJAGUAL,5.261454859041649,43401.741132234565,86803482264.46913
CASANARE,MANI,5.985700578131986,141861.10370172808,283722207403.4562
BOLIVAR,MARIA LA BAJA,2.7897641721834177,1735.2333150980858,3470466630.1961713
CHOCO,MEDIO ATRATO,2.2974666886038286,399.7592038170662,799518407.6341323
CHOCO,MEDIO BAUDO,2.312865203013768,1156.4326015068839,2312865203.0137677
CHOCO,MEDIO SAN JUAN,2.4627582446941276,283.2171981398247,566434396.2796494
CAQUETA,MILAN,1.6866707316280183,226.01387803815444,452027756.0763089
GUAVIARE,MIRAFLORES,2.3612722601241853,311.68793833639245,623375876.6727849
CORDOBA,MOMIL,2.9993410665041464,56.98748026357878,113974960.52715756
