departamento,municipio,rendimiento_original,produccion_esperada_t,ingreso_promedio_5y_cop
ANTIOQUIA,ABEJORRAL,1.1395127796471507,2873.144732346733,47809128346.24963
NORTE DE SANTANDER,ABREGO,1.1695569416448988,464.7702330402663,7733776677.790031
ANTIOQUIA,ABRIAQUI,1.4356753462685656,135.24061761849887,2250403877.1718216
META,ACACIAS,1.2251961390928705,85.88624935041021,1429147189.190826
HUILA,ACEVEDO,1.3257919081608596,14625.831398691726,243373834474.23032
HUILA,AGRADO,1.306490556653608,1396.32484732911,23234845459.556393
CUNDINAMARCA,AGUA DE DIOS,1.1354711788210785,1.1354711788210785,18894240.415582746
CESAR,AGUACHICA,1.2401054485556442,900.1305398341144,14978172182.839664
SANTANDER,AGUADA,1.2205122122558523,128.2392181417224,2133900589.8782606
CALDAS,AGUADAS,1.2998242678418093,3882.354117917951,64602372522.1547
CESAR,AGUSTIN CODAZZI,1.2006657667422824,5131.789566948524,85392978394.02345
HUILA,AIPE,1.2753272316930522,1291.0137566428766,21482468910.537468
CUNDINAMARCA,ALBAN,1.2138117877977472,340.61986389180385,5667914535.1596155
NARINO,ALBAN,1.2328606775362465,1894.4876887428486,31524275140.681004
SANTANDER,ALBANIA,1.1739724258848332,307.24032357831965,5112478984.343239
VALLE DEL CAUCA,ALCALA,1.2729031366221262,1073.324653831143,17860122239.750217
ANTIOQUIA,ALEJANDRIA,1.3127109668991546,572.6964135290941,9529668321.124125
HUILA,ALGECIRAS,1.251613734461024,6138.94007705912,102151962882.26376
CAUCA,ALMAGUER,1.1978112614802772,1229.21787275629,20454185402.664665
BOYACA,ALMEIDA,1.267247748937263,90.63355900399306,1508142421.8264446
TOLIMA,ALPUJARRA,1.225189961403716,1379.6986674363386,22958185826.140675
HUILA,ALTAMIRA,1.3870255211437466,104.41528123170124,1737470279.6955087
TOLIMA,ALVARADO,1.280297940647245,889.7046449145835,14804685291.37867
ANTIOQUIA,AMAGA,1.3818602018677484,527.1520298085087,8771809776.013584
ANTIOQUIA,AMALFI,1.1989180470976446,1596.9468495535916,26573195576.571766
CUNDINAMARCA,ANAPOIMA,1.32982718965039,59.203906483235365,985153003.8810364
NARINO,ANCUYA,1.2459299535759225,410.0355477218361,6822991514.091352
VALLE DEL CAUCA,ANDALUCIA,1.1066851616137834,180.8323554076922,3009050393.9839983
ANTIOQUIA,ANDES,1.1916254253609893,9645.29026671968,160497630038.21545
ANTIOQUIA,ANGELOPOLIS,1.2660645216211992,221.16881128200728,3680249019.732601
ANTIOQUIA,ANGOSTURA,1.1474742754967298,773.4779848840807,12870673668.471102
CUNDINAMARCA,ANOLAIMA,1.222632962289447,652.3724960184031,10855478333.74623
ANTIOQUIA,ANORI,1.2747954521888178,311.59825237851277,5184994919.578453
CALDAS,ANSERMA,1.2485017104036902,4916.5747655355235,81811804098.51111
VALLE DEL CAUCA,ANSERMANUEVO,1.2494473026724584,3837.352533859761,63853546163.42642
ANTIOQUIA,ANZA,1.2640101158909636,2071.5735388325415,34470983686.17349
TOLIMA,ANZOATEGUI,1.2463293684200711,4102.156019924138,68259876171.53765
