departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
NORTE DE SANTANDER,ABREGO,7.696858183763704,3455.889324509903,12441201568.235651
META,ACACIAS,18.944755217629332,757.7902087051733,2728044751.338624
CHOCO,ACANDI,8.794347195845294,466.1004013798006,1677961444.967282
HUILA,ACEVEDO,4.31381251923661,12216.717054478078,43980181396.121086
BOLIVAR,ACHI,5.181154929117619,1479.2197322630802,5325191036.147089
HUILA,AGRADO,4.6181280651206675,1209.718646658359,4354987127.970092
CUNDINAMARCA,AGUA DE DIOS,5.216310002521052,187.78716009075788,676033776.3267283
CESAR,AGUACHICA,6.985995943008122,537.9216876116254,1936518075.4018514
SANTANDER,AGUADA,6.176868903137046,40.1496478703908,144538732.3334069
CALDAS,AGUADAS,3.5516183551275207,6694.800599415376,24101282157.895355
CASANARE,AGUAZUL,11.99763309822407,2195.5668569750046,7904040685.110017
CESAR,AGUSTIN CODAZZI,8.004026671756748,2505.260348259862,9018937253.735502
HUILA,AIPE,6.97436583778517,4369.440197372409,15729984710.540672
CUNDINAMARCA,ALBAN,3.3102951422161024,880.5385078294833,3169938628.1861396
NARINO,ALBAN,5.858261024661085,4800.844909709759,17283041674.95513
CAQUETA,ALBANIA,6.183903878392113,1236.7807756784225,4452410792.442321
LA GUAJIRA,ALBANIA,4.262568572212706,23.44412714716988,84398857.72981156
VALLE DEL CAUCA,ALCALA,10.122903991116111,12147.484789339333,43730945241.6216
ANTIOQUIA,ALEJANDRIA,3.302723023199782,336.8777483663778,1212759894.11896
MAGDALENA,ALGARROBO,4.213680342457014,417.1543539032444,1501755674.0516796
HUILA,ALGECIRAS,5.637170781419518,8791.167833623738,31648204201.045456
CAUCA,ALMAGUER,9.759641836391378,9915.79610577364,35696865980.7851
HUILA,ALTAMIRA,4.404000280402284,880.8000560804569,3170880201.8896446
CHOCO,ALTO BAUDO,5.1525870490436505,1932.220143391369,6955992516.208928
BOLIVAR,ALTOS DEL ROSARIO,6.080305507192839,194.56977623017085,700451194.4286151
ANTIOQUIA,AMAGA,4.219952159363212,485.2944983267693,1747060193.9763694
ANTIOQUIA,AMALFI,3.328323242309844,1564.3119238856266,5631522925.988256
TOLIMA,AMBALEMA,11.793371453201441,271.24754342363315,976491156.3250794
CUNDINAMARCA,ANAPOIMA,13.957518188524014,656.0033548606286,2361612077.4982634
NARINO,ANCUYA,5.973744330317855,1058.5474953323237,3810770983.1963654
VALLE DEL CAUCA,ANDALUCIA,8.894930455005547,1190.4974920979423,4285790971.5525928
ANTIOQUIA,ANDES,5.105946402652526,5613.988069716453,20210357050.97923
ANTIOQUIA,ANGELOPOLIS,9.158956792907974,2417.964593327705,8704672535.979738
ANTIOQUIA,ANGOSTURA,5.139660835077631,1860.5572222981025,6698006000.273169
CUNDINAMARCA,ANOLAIMA,3.2651100763408896,32.6511007634089,117543962.74827203
ANTIOQUIA,ANORI,6.6422605393825105,411.82015344171566,1482552552.3901763
CALDAS,ANSERMA,14.394518925828526,57232.607249094224,206037386096.7392
VALLE DEL CAUCA,ANSERMANUEVO,13.87232642789588,16157.098590570331,58165554926.05319
ANTIOQUIA,ANZA,6.843802852106817,670.692679506468,2414493646.2232847
TOLIMA,ANZOATEGUI,6.920627111604629,2197.2991079344697,7910276788.564091
ANTIOQUIA,APARTADO,15.55819319649136,12306.530818424666,44303510946.3288
RISARALDA,APIA,11.84847372697423,19461.118096555172,70060025147.59862
CUNDINAMARCA,APULO,5.58102513457457,418.5768850930927,1506876786.3351338
MAGDALENA,ARACATACA,9.924287445459974,1399.3245298098564,5037568307.315483
CALDAS,ARANZAZU,7.943034238623914,2382.9102715871745,8578476977.713829
SANTANDER,ARATOCA,8.950488658671345,358.0195463468538,1288870366.8486736
ARAUCA,ARAUCA,13.931010821071876,5903.9623859702615,21254264589.492943
ARAUCA,ARAUQUITA,21.656886954410716,151230.04160265002,544428149769.5401
CUNDINAMARCA,ARBELAEZ,7.932106608187649,128.97605344913117,464313792.4168722
NARINO,ARBOLEDA,3.3601904500949233,1958.9910324053403,7052367716.659225
NORTE DE SANTANDER,ARBOLEDAS,7.891032855392224,2027.9954438358016,7300783597.808886
ANTIOQUIA,ARBOLETES,10.21820752396119,28110.288898417235,101197040034.30205
BOLIVAR,ARENAL,3.061157058091488,945.8975309502698,3405231111.4209714
ANTIOQUIA,ARGELIA,11.334918562353408,422.22571644766447,1520012579.211592
CAUCA,ARGELIA,3.9511697162977715,237.0701829778663,853452658.7203187
VALLE DEL CAUCA,ARGELIA,9.856220066886308,9787.226526418104,35234015495.10518
BOLIVAR,ARJONA,7.225945235859609,1322.3479781623084,4760452721.38431
ANTIOQUIA,ARMENIA,3.585203907310672,181.05279731918893,651790070.3490801
QUINDIO,ARMENIA,11.6781089990999,35326.2797222772,127174607000.19792
TOLIMA,ARMERO,6.88064915619956,688.064915619956,2477033696.2318416
BOLIVAR,ARROYOHONDO,7.887468597103407,60.73350819769623,218640629.51170644
TOLIMA,ATACO,7.067835315034593,8446.063201466339,30405827525.278816
CHOCO,ATRATO,10.044709159089702,974.3367884317012,3507612438.3541245
CHOCO,BAGADO,4.950710974379758,757.458779080103,2726851604.6883707
CHOCO,BAHIA SOLANO,3.3889060146097187,732.0036991556992,2635213316.9605174
CHOCO,BAJO BAUDO,4.15623281124576,1824.5862041368885,6568510334.892798
CAUCA,BALBOA,6.295791013651683,705.1285935289885,2538462936.7043586
RISARALDA,BALBOA,9.937023623762382,13998.285178794069,50393826643.658646
HUILA,BARAYA,5.202329191743545,941.6215837055817,3389837701.3400936
NARINO,BARBACOAS,5.405293002501981,918.8998104253368,3308039317.5312123
ANTIOQUIA,BARBOSA,4.2169501808346155,632.5425271251924,2277153097.6506925
SANTANDER,BARBOSA,6.096728528133713,231.67568406908111,834032462.648692
META,BARRANCA DE UPIA,11.954873102226017,2940.8987831476,10587235619.33136
SANTANDER,BARRANCABERMEJA,9.008277551046737,764.3523502063156,2751668460.7427363
LA GUAJIRA,BARRANCAS,6.866786029893804,1050.618262573752,3782225745.265507
BOLIVAR,BARRANCO DE LOBA,4.207711838016057,185.13932087270652,666501555.1417435
GUAINIA,BARRANCOMINAS,7.610124062950237,479.4378159658649,1725976137.4771137
CESAR,BECERRIL,9.874034162134485,2958.260634975492,10649738285.91177
CALDAS,BELALCAZAR,12.059485825319191,37474.85220217938,134909467927.84578
CAQUETA,BELEN DE LOS ANDAQUIES,7.057848151597662,5307.501810001442,19107006516.00519
RISARALDA,BELEN DE UMBRIA,12.897416138342255,72418.99161679175,260708369820.45032
ANTIOQUIA,BELLO,4.157982182072121,27.442682401675995,98793656.64603359
CUNDINAMARCA,BELTRAN,5.644276314855825,423.3207236141868,1523954605.0110724
BOYACA,BERBEO,5.946354569460433,47.570836555683464,171255011.60046047
ANTIOQUIA,BETANIA,3.3530919535689527,1106.5203446777543,3983473240.8399158
ANTIOQUIA,BETULIA,4.251768866856264,1062.942216714066,3826591980.1706376
CUNDINAMARCA,BITUIMA,11.35023000096102,170.2534500144153,612912420.0518951
BOYACA,BOAVITA,9.755333099688258,321.9259922897125,1158933572.242965
NORTE DE SANTANDER,BOCHALEMA,7.882348480484071,914.3524237361522,3291668725.450148
CHOCO,BOJAYA,7.271733735887416,9780.481874768575,35209734749.16687
CAUCA,BOLIVAR,6.040557214658841,2651.804617235231,9546496622.046831
VALLE DEL CAUCA,BOLIVAR,12.611849057286719,5851.897962581037,21066832665.291733
SANTANDER,BOLIVAR,11.09582893477005,2929.2988387792934,10545475819.605457
ANTIOQUIA,BRICENO,4.791191076985975,119.77977692464938,431207196.9287378
BOYACA,BRICENO,5.105541058318325,377.810038315556,1360116137.9360015
SANTANDER,BUCARAMANGA,13.092981037859822,1110.2847920105128,3997025251.237846
NORTE DE SANTANDER,BUCARASICA,4.106820457041921,36.961384113377285,133060982.80815823
VALLE DEL CAUCA,BUENAVENTURA,4.163011433202566,736.8530236768543,2652670885.2366753
CORDOBA,BUENAVISTA,7.311212550055654,307.07092710233746,1105455337.568415
QUINDIO,BUENAVISTA,9.854450887666356,18207.08346005236,65545500456.18849
SUCRE,BUENAVISTA,4.390069664024122,70.24111462438596,252868012.64778945
CAUCA,BUENOS AIRES,6.45089692239688,258.0358768958752,928929156.8251508
NARINO,BUESACO,6.0717659585905945,36.430595751543564,131150144.70555682
VALLE DEL CAUCA,BUGALAGRANDE,7.978434738096846,2058.4361624289863,7410370184.74435
ANTIOQUIA,BURITICA,6.110373522863034,207.75269977734314,747909719.1984353
SANTANDER,CABRERA,4.450599803272445,40.05539822945201,144199433.62602723
META,CABUYARO,14.977228327483393,11143.057875647644,40115008352.33152
ANTIOQUIA,CACERES,7.958565738911869,4225.998407362203,15213594266.50393
CUNDINAMARCA,CACHIPAY,11.33796333196079,770.9815065733337,2775533423.6640015
ANTIOQUIA,CAICEDO,4.2857818877520355,45.00070982139637,162002555.35702693
VALLE DEL CAUCA,CAICEDONIA,8.071941235469048,23723.43529104353,85404367047.7567
TOLIMA,CAJAMARCA,8.296953811113035,1190.6128718947205,4286206338.820994
CAUCA,CAJIBIO,3.832475295120113,114.97425885360339,413907331.8729722
GUAVIARE,CALAMAR,9.667065815365952,6389.930503956894,23003749814.244823
QUINDIO,CALARCA,12.010499186105047,40715.59224089611,146576132067.22598
ANTIOQUIA,CALDAS,9.191272949190443,198.53149570251358,714713384.5290489
CAUCA,CALDONO,5.531079490444743,876.6760992354917,3156033957.2477703
SANTANDER,CALIFORNIA,5.039002000595049,70.5460280083307,253965700.8299905
VALLE DEL CAUCA,CALIMA,11.823938358801376,3985.258423834004,14346930325.802416
CAUCA,CALOTO,11.059901323053698,165.89851984580545,597234671.4448997
ATLANTICO,CAMPO DE LA CRUZ,4.38330638685659,8.76661277371318,31559805.985367447
HUILA,CAMPOALEGRE,4.236650401243338,3374.492044590319,12148171360.525148
BOYACA,CAMPOHERMOSO,13.825379752315452,566.8405698449335,2040626051.4417605
CORDOBA,CANALETE,14.63354512817084,41559.26816400519,149613365390.41867
ANTIOQUIA,CANASGORDAS,4.784820514907513,1014.3819491603928,3651775016.977414
VALLE DEL CAUCA,CANDELARIA,7.810249811645102,57.01482362500924,205253365.05003327
ATLANTICO,CANDELARIA,3.4799092741602213,78.29795866860498,281872651.2069779
BOLIVAR,CANTAGALLO,11.231912153675,3627.907625637025,13060467452.29329
CUNDINAMARCA,CAPARRAPI,6.024094010549942,1807.2282031649827,6506021531.393938
ANTIOQUIA,CARACOLI,10.063309253115417,311.96258684657795,1123065312.6476805
ANTIOQUIA,CARAMANTA,3.6590424112138784,1986.860029289136,7152696105.440889
ANTIOQUIA,CAREPA,7.959244081882915,5460.04144017168,19656149184.61805
TOLIMA,CARMEN DE APICALA,6.182008863458809,92.73013295188214,333828478.62677574
CHOCO,CARMEN DEL DARIEN,8.196635843000777,11311.357463341074,40720886868.02786
BOLIVAR,CARTAGENA DE INDIAS,7.214626733948881,281.3704426240064,1012933593.4464229
CAQUETA,CARTAGENA DEL CHAIRA,5.4228026479032065,23269.24616215266,83769286183.74957
VALLE DEL CAUCA,CARTAGO,11.485913529924858,1952.6053000872257,7029379080.314013
VAUPES,CARURU,2.7598170994802644,551.9634198960529,1987068311.6257904
TOLIMA,CASABIANCA,4.473609377950715,6437.5238948710785,23175086021.53588
META,CASTILLA LA NUEVA,7.978957576666026,79.78957576666026,287242472.7599769
ANTIOQUIA,CAUCASIA,6.888554991211349,34.442774956056745,123993989.84180428
CORDOBA,CERETE,16.120562331757142,3224.1124663514283,11606804878.86514
CHOCO,CERTEGUI,4.1552379939256205,232.69332765983475,837695979.5754051
NARINO,CHACHAGUI,6.0743414317466025,492.0216559714748,1771277961.4973092
CUNDINAMARCA,CHAGUANI,7.584209459770737,4565.694094781983,16436498741.21514
SUCRE,CHALAN,4.2869541775134365,338.6693800235615,1219209768.0848212
CASANARE,CHAMEZA,5.084493485765117,167.78828503024886,604037826.1088959
TOLIMA,CHAPARRAL,4.22610140792585,3317.4896052217923,11942962578.798452
SANTANDER,CHARALA,7.608098430107567,2031.3622808387204,7312904211.019393
ANTIOQUIA,CHIGORODO,11.334878418732332,340.04635256196997,1224166869.223092
SANTANDER,CHIMA,5.194572550149333,3285.567137969453,11828041696.690031
CORDOBA,CHIMA,2.779691975089777,8.33907592526933,30020673.33096959
CESAR,CHIMICHAGUA,7.820276079080264,1958.979157809606,7052324968.114582
NORTE DE SANTANDER,CHINACOTA,7.062250875885924,819.2211016027672,2949195965.769962
BOYACA,CHINAVITA,5.262373415241109,47.36136073716998,170500898.65381193
CALDAS,CHINCHINA,18.781103943273383,12207.717563127699,43947783227.25972
SANTANDER,CHIPATA,12.379893710652984,408.5364924515485,1470731372.8255746
CESAR,CHIRIGUANA,6.075868775280857,364.55212651685144,1312387655.4606652
NORTE DE SANTANDER,CHITAGA,8.063857705728541,209.66030034894206,754777081.2561914
BOYACA,CHITARAQUE,4.5876694923425445,139.0063856179791,500422988.22472477
BOYACA,CHIVOR,6.0320519842429094,63.33654583455055,228011565.00438195
BOLIVAR,CICUCO,5.628333709578953,33.77000225747372,121572008.1269054
MAGDALENA,CIENAGA,8.00815515444344,13990.24705481269,50364889397.325676
CORDOBA,CIENAGA DE ORO,14.351261927250556,2870.2523854501114,10332908587.620401
SANTANDER,CIMITARRA,9.957349141864055,5844.963946274201,21041870206.58712
QUINDIO,CIRCASIA,7.426464075159317,5978.3035805032505,21521892889.811703
ANTIOQUIA,CIUDAD BOLIVAR,3.4416951045033013,2278.4021591811857,8202247773.052269
BOLIVAR,CLEMENCIA,8.962824322528398,9491.630957557574,34169871447.207264
ANTIOQUIA,COCORNA,6.569309922256244,3212.3925519833033,11564613187.13989
HUILA,COLOMBIA,5.153913301408586,1685.3296495606078,6067186738.418188
NARINO,COLON,10.014807607515069,2560.786305241603,9218830698.86977
SUCRE,COLOSO,7.962562980614997,477.75377883689987,1719913603.8128395
ANTIOQUIA,CONCORDIA,6.192847024969081,3659.9725917567266,13175901330.324215
MAGDALENA,CONCORDIA,3.3491447035922746,2.0094868221553646,7234152.559759312
CHOCO,CONDOTO,5.074277915156255,261.8327404220628,942597865.5194261
SANTANDER,CONFINES,11.861142038858207,1304.7256242744027,4697012247.38785
SANTANDER,CONTRATACION,4.2183027552401695,210.91513776200847,759294495.9432305
NORTE DE SANTANDER,CONVENCION,5.710836420917349,3523.5860717060045,12684909858.141617
ANTIOQUIA,COPACABANA,4.106071378311381,41.06071378311381,147818569.6192097
BOYACA,COPER,8.901094401355438,1139.340083373496,4101624300.1445856
QUINDIO,CORDOBA,8.283116756291781,11414.963201845703,41093867526.64453
BOLIVAR,CORDOBA,2.844212836409788,7.11053209102447,25597915.527688093
CAUCA,CORINTO,7.9813322239348405,1332.8824813971185,4798376933.029627
SANTANDER,COROMORO,7.847032349156692,1090.7374965327801,3926654987.518008
SUCRE,COROZAL,8.375925748874334,209.39814372185833,753833317.39869
CORDOBA,COTORRA,7.055881471383355,254.0117329698008,914442238.6912827
SUCRE,COVENAS,11.134436776052363,189.28542519289016,681427530.6944046
ARAUCA,CRAVO NORTE,17.2944276919789,1988.8591845775734,7159893064.479264
BOYACA,CUBARA,10.079056429485341,70.55339500639738,253992222.02303058
NORTE DE SANTANDER,CUCUTILLA,9.643262510120305,4748.342459983238,17094032855.939657
META,CUMARAL,11.973539857526152,1843.9251380590274,6638130497.012499
VICHADA,CUMARIBO,7.036210037877492,14776.041079542732,53193747886.353836
NARINO,CUMBITARA,5.730302596529561,538.6484440737787,1939134398.6656032
TOLIMA,CUNDAY,5.35654372339282,712.420315211245,2564713134.760482
SANTANDER,CURITI,7.975696187753773,1962.021262187428,7063276543.874741
CESAR,CURUMANI,6.232203752635631,3708.1612328182005,13349380438.145521
ANTIOQUIA,DABEIBA,17.896194899043135,1539.0727613177096,5540661940.743754
VALLE DEL CAUCA,DAGUA,11.564360075713184,14617.351135701465,52622464088.525276
LA GUAJIRA,DIBULLA,6.0907395429810025,7729.1484800428925,27824934528.154415
LA GUAJIRA,DISTRACCION,5.140029828944957,102.80059657889915,370082147.6840369
TOLIMA,DOLORES,7.0561912250987735,1150.1591696911,4140573010.88796
ANTIOQUIA,DONMATIAS,7.010063112312334,17.525157780780837,63090568.010811016
RISARALDA,DOSQUEBRADAS,9.84031739977457,3530.7058830391156,12710541178.940815
NORTE DE SANTANDER,DURANIA,6.322859340638659,2668.246641749514,9605687910.29825
ANTIOQUIA,EBEJICO,5.1903596769694165,7790.729875131095,28046627550.47194
VALLE DEL CAUCA,EL AGUILA,12.564245977037405,26384.91655177855,94985699586.40279
ANTIOQUIA,EL BAGRE,9.464634115806035,1815.3168234115976,6535140564.281752
MAGDALENA,EL BANCO,7.088127393255439,276.43696833696214,995173086.0130637
