Año,MAE,RMSE,R2,MAPE,N,Modelo
2019,0.8950695565214764,1.3210654191043958,0.6550962128723334,27.575609705937143,263,Baseline 1 (t-1)
2020,0.6058184160839197,1.0593533909972142,0.7549711538931729,18.589574035196623,299,Baseline 1 (t-1)
2021,0.8235022977425774,1.257802189486344,0.665111310066583,19.784779043793268,300,Baseline 1 (t-1)
2022,0.5542986882272151,0.8929991755326829,0.8144219902456394,15.684811922065855,301,Baseline 1 (t-1)
2023,0.4422659635112596,0.8233383090399408,0.8383139250409619,12.853499976670193,297,Baseline 1 (t-1)
2024,0.42480694203649105,0.8479653097518446,0.831108106830277,12.124600437458291,290,Baseline 1 (t-1)
2019,0.9023611803587879,1.250422994286814,0.6904037682171421,27.62347947439333,272,Baseline 2 (media 3y)
2020,0.7791910423186809,1.1136987060762433,0.7260018307155538,21.693578861211964,270,Baseline 2 (media 3y)
2021,0.8795542987026626,1.2630884111937664,0.6597350469692795,22.035029779888102,294,Baseline 2 (media 3y)
2022,0.6826546884910719,0.959728454594112,0.7862355041626021,17.86241586951534,295,Baseline 2 (media 3y)
2023,0.5604450762013587,0.8167376188489054,0.838915776025198,16.09431400515605,296,Baseline 2 (media 3y)
2024,0.5357219490676851,0.8633461707137771,0.8235570123641534,14.989944317856802,290,Baseline 2 (media 3y)
