Año,MAE,RMSE,R2,MAPE,N,Modelo
2019,0.32397053989707664,0.3892041573632086,-1.9479595243400647,28.632476448182555,579,Baseline 1 (t-1)
2020,0.20006041840293673,0.3229777891175626,-0.24806817275566062,35.9653772896609,619,Baseline 1 (t-1)
2021,0.2314934474766299,0.31430212761288207,-0.9913394464637828,23.007208654471864,625,Baseline 1 (t-1)
2022,0.20946460231431752,0.2898514999171425,-0.005057772658707771,35.93304396347566,631,Baseline 1 (t-1)
2023,0.17309493638961576,0.27369018814168783,0.32888254389944627,24.864235915395938,625,Baseline 1 (t-1)
2024,0.24792421400421966,0.31138816886730175,0.36703010556630233,21.837311032542853,623,Baseline 1 (t-1)
2019,0.2674941390459954,0.3178565320858715,-0.9937655730460297,23.85598770300504,577,Baseline 2 (media 3y)
2020,0.2616771282852363,0.3519849403728952,-0.503640803762631,41.60529792549277,579,Baseline 2 (media 3y)
2021,0.1962957284278597,0.2480795648280874,-0.2711538848201649,20.331803825050702,579,Baseline 2 (media 3y)
2022,0.2704144891481178,0.3342716966415997,-0.347176886221239,44.866674760879796,619,Baseline 2 (media 3y)
2023,0.22617020164574517,0.2965178695799379,0.2152055022830649,36.7908770500814,620,Baseline 2 (media 3y)
2024,0.23591525649936027,0.31908020895371303,0.3353720901123951,22.029565212952672,623,Baseline 2 (media 3y)
