Año,MAE,RMSE,R2,MAPE,N,Modelo
2019,2.3828961609009993,4.151149760307412,0.10973164254114653,37.32927241755617,717,Baseline 1 (t-1)
2020,1.0052777545016323,2.374997863045926,0.6627177796694403,16.68447823242698,768,Baseline 1 (t-1)
2021,1.5713949167896557,3.0011749489908226,0.435730100739099,29.119300502601074,782,Baseline 1 (t-1)
2022,1.0486999515404773,2.2576411470316224,0.6777970868718091,15.05745759229714,784,Baseline 1 (t-1)
2023,0.6273315556568981,1.6315460465336338,0.8338982561242021,9.282569265777447,791,Baseline 1 (t-1)
2024,0.32141063032237016,1.4232715929781448,0.8744045187320366,7.2615585746186,794,Baseline 1 (t-1)
2019,2.1003921017902045,3.5340974183844076,0.3545738380273019,31.94218774465158,716,Baseline 2 (media 3y)
2020,1.7087083890664103,2.87787826608049,0.5074443242762299,27.830590490307337,717,Baseline 2 (media 3y)
2021,1.8751325292086984,3.0975905270432103,0.4032471487259198,34.5074997330071,771,Baseline 2 (media 3y)
2022,1.6401173753779021,2.670359085223185,0.5505510396795401,25.635438447481963,782,Baseline 2 (media 3y)
2023,1.2461681815094847,2.0837073833271913,0.7364063607241398,17.795993267699764,786,Baseline 2 (media 3y)
2024,0.8411106486171219,1.678641123632027,0.8222346139233923,12.905951063670736,792,Baseline 2 (media 3y)
